stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
miyunshuiku_aq,2018-01-31 16:00:00,26.3333333333,63.3333333333,22.0,0.55,46.1666666667,7.5
miyunshuiku_aq,2018-01-31 17:00:00,10.0,48.0,6.0,0.4,60.0,4.0
miyunshuiku_aq,2018-01-31 18:00:00,13.0,44.0,6.0,0.4,58.0,2.0
miyunshuiku_aq,2018-01-31 19:00:00,15.0,40.0,8.0,0.4,56.0,2.0
miyunshuiku_aq,2018-01-31 20:00:00,13.0,47.0,10.0,0.5,50.0,2.0
miyunshuiku_aq,2018-01-31 21:00:00,29.9166666667,69.875,31.1666666667,0.691666666667,33.3333333333,6.66666666667
miyunshuiku_aq,2018-01-31 22:00:00,32.5583333333,70.4541666667,34.65,0.769166666667,29.1,8.63333333333
miyunshuiku_aq,2018-01-31 23:00:00,17.0,44.0,16.0,0.5,44.0,2.0
miyunshuiku_aq,2018-02-01 00:00:00,33.70625,81.0274305556,39.2347222222,0.888402777778,26.4527777778,11.1916666667
miyunshuiku_aq,2018-02-01 01:00:00,24.0,62.0,18.0,0.6,41.0,2.0
miyunshuiku_aq,2018-02-01 02:00:00,17.0,58.0,17.0,0.6,48.0,3.0
miyunshuiku_aq,2018-02-01 03:00:00,20.0,68.0,14.0,0.5,58.0,4.0
miyunshuiku_aq,2018-02-01 04:00:00,18.0,85.0,9.0,0.4,73.0,4.0
miyunshuiku_aq,2018-02-01 05:00:00,25.0,100.0,7.0,0.3,83.0,3.0
miyunshuiku_aq,2018-02-01 06:00:00,19.0,107.0,5.0,0.3,90.0,2.0
miyunshuiku_aq,2018-02-01 07:00:00,29.0,110.0,4.0,0.3,94.0,2.0
miyunshuiku_aq,2018-02-01 08:00:00,17.0,96.0,3.0,0.3,95.0,2.0
miyunshuiku_aq,2018-02-01 09:00:00,14.0,75.0,3.0,0.3,94.0,2.0
miyunshuiku_aq,2018-02-01 10:00:00,14.0,60.0,2.0,0.3,92.0,2.0
miyunshuiku_aq,2018-02-01 11:00:00,15.75,57.5833333333,8.25,0.35,67.8333333333,2.5
miyunshuiku_aq,2018-02-01 12:00:00,11.0,48.0,3.0,0.3,87.0,2.0
miyunshuiku_aq,2018-02-01 13:00:00,7.0,36.0,2.0,0.3,85.0,2.0
miyunshuiku_aq,2018-02-01 14:00:00,6.0,32.0,2.0,0.3,83.0,2.0
miyunshuiku_aq,2018-02-01 15:00:00,9.20833333333,39.3333333333,8.79166666667,0.270833333333,66.25,2.33333333333
miyunshuiku_aq,2018-02-01 16:00:00,6.81770833333,29.0833333333,5.515625,0.250520833333,63.3229166667,2.04166666667
miyunshuiku_aq,2018-02-01 17:00:00,7.0,24.0,2.0,0.2,79.0,2.0
miyunshuiku_aq,2018-02-01 18:00:00,9.46158854167,27.1770833333,9.74674479167,0.2818359375,59.61328125,2.33854166667
miyunshuiku_aq,2018-02-01 19:00:00,8.86126302083,25.5927083333,13.1595703125,0.313235677083,59.8602864583,2.9046875
miyunshuiku_aq,2018-02-01 20:00:00,8.36023763021,23.7308159722,12.9921929253,0.282922634549,59.7061306424,2.77026909722
miyunshuiku_aq,2018-02-01 21:00:00,6.0,21.0,3.0,0.2,75.0,3.0
miyunshuiku_aq,2018-02-01 22:00:00,16.0,18.0,3.0,0.2,75.0,3.0
miyunshuiku_aq,2018-02-01 23:00:00,9.0,9.0,3.0,0.2,76.0,2.0
miyunshuiku_aq,2018-02-02 00:00:00,8.41666666667,19.5,7.58333333333,0.266666666667,63.1666666667,3.5
miyunshuiku_aq,2018-02-02 01:00:00,10.0,16.0,2.0,0.2,82.0,2.0
miyunshuiku_aq,2018-02-02 02:00:00,3.0,14.0,2.0,0.2,82.0,3.0
miyunshuiku_aq,2018-02-02 03:00:00,3.0,6.0,2.0,0.2,84.0,3.0
miyunshuiku_aq,2018-02-02 04:00:00,3.0,11.0,2.0,0.2,84.0,2.0
miyunshuiku_aq,2018-02-02 05:00:00,8.5,29.8333333333,4.33333333333,0.266666666667,76.3333333333,3.33333333333
miyunshuiku_aq,2018-02-02 06:00:00,7.75,27.1388888889,4.38888888889,0.261111111111,76.2222222222,4.05555555555
miyunshuiku_aq,2018-02-02 07:00:00,8.04166666667,25.4953703704,4.28703703704,0.25462962963,76.2592592593,3.89814814815
miyunshuiku_aq,2018-02-02 08:00:00,7.21527777778,28.9112654321,4.83487654321,0.280401234568,74.8024691358,4.21450617284
